Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
0.31252	96890.35311	2887.21324	80.88044	-25511.67636
0.31150	96809.65615	2886.21324	80.69696	-25545.86828
0.31047	96729.14163	2885.21324	80.51453	-25579.89496
0.30946	96648.80849	2884.21324	80.33313	-25613.75740
0.30844	96568.65572	2883.21324	80.15277	-25647.45656
0.30743	96488.68228	2882.21324	79.97344	-25680.99343
0.30643	96408.88716	2881.21324	79.79512	-25714.36897
0.30542	96329.26935	2880.21324	79.61781	-25747.58415
0.30443	96249.82784	2879.21324	79.44151	-25780.63990
0.30343	96170.56164	2878.21324	79.26620	-25813.53720
0.30245	96091.46975	2877.21324	79.09188	-25846.27696
0.30146	96012.55121	2876.21324	78.91855	-25878.86013
0.30048	95933.80502	2875.21324	78.74619	-25911.28763
0.29950	95855.23022	2874.21324	78.57480	-25943.56038
0.29853	95776.82586	2873.21324	78.40437	-25975.67930
0.29756	95698.59096	2872.21324	78.23489	-26007.64529
0.29660	95620.52459	2871.21324	78.06637	-26039.45926
0.29564	95542.62581	2870.21324	77.89879	-26071.12209
0.29468	95464.89367	2869.21324	77.73214	-26102.63468
0.29373	95387.32724	2868.21324	77.56642	-26133.99792
0.29278	95309.92561	2867.21324	77.40163	-26165.21267
0.29184	95232.68786	2866.21324	77.23775	-26196.27980
0.29090	95155.61307	2865.21324	77.07479	-26227.20019
0.28996	95078.70035	2864.21324	76.91272	-26257.97468
0.28903	95001.94879	2863.21324	76.75156	-26288.60414
0.28810	94925.35751	2862.21324	76.59128	-26319.08940
0.28717	94848.92561	2861.21324	76.43190	-26349.43131
0.28625	94772.65222	2860.21324	76.27339	-26379.63070
0.28533	94696.53647	2859.21324	76.11575	-26409.68840
0.28442	94620.57748	2858.21324	75.95899	-26439.60524
0.28351	94544.77440	2857.21324	75.80308	-26469.38203
0.28260	94469.12637	2856.21324	75.64803	-26499.01958
0.28170	94393.63254	2855.21324	75.49383	-26528.51870
0.28080	94318.29207	2854.21324	75.34048	-26557.88019
0.27990	94243.10411	2853.21324	75.18796	-26587.10485
0.27901	94168.06783	2852.21324	75.03627	-26616.19346
0.27812	94093.18242	2851.21324	74.88542	-26645.14682
0.27724	94018.44703	2850.21324	74.73538	-26673.96569
0.27636	93943.86087	2849.21324	74.58616	-26702.65086
0.27548	93869.42312	2848.21324	74.43775	-26731.20309
0.27460	93795.13297	2847.21324	74.29015	-26759.62315
0.27373	93720.98962	2846.21324	74.14335	-26787.91178
0.27287	93646.99229	2845.21324	73.99734	-26816.06976
0.27200	93573.14017	2844.21324	73.85212	-26844.09782
0.27114	93499.43249	2843.21324	73.70768	-26871.99671
0.27029	93425.86847	2842.21324	73.56402	-26899.76716
0.26943	93352.44734	2841.21324	73.42113	-26927.40992
0.26858	93279.16832	2840.21324	73.27902	-26954.92570
0.26774	93206.03066	2839.21324	73.13766	-26982.31523
0.26689	93133.03360	2838.21324	72.99707	-27009.57922
0.26605	93060.17638	2837.21324	72.85722	-27036.71840
0.26522	92987.45825	2836.21324	72.71813	-27063.73347
0.26438	92914.87848	2835.21324	72.57977	-27090.62513
0.26355	92842.43632	2834.21324	72.44216	-27117.39408
0.26273	92770.13105	2833.21324	72.30527	-27144.04102
0.26190	92697.96193	2832.21324	72.16912	-27170.56664
0.26108	92625.92824	2831.21324	72.03369	-27196.97162
0.26027	92554.02926	2830.21324	71.89898	-27223.25665
0.25945	92482.26428	2829.21324	71.76498	-27249.42239
0.25864	92410.63259	2828.21324	71.63169	-27275.46953
0.25784	92339.13348	2827.21324	71.49911	-27301.39872
0.25703	92267.76626	2826.21324	71.36722	-27327.21063
0.25623	92196.53023	2825.21324	71.23603	-27352.90593
0.25543	92125.42470	2824.21324	71.10553	-27378.48525
0.25464	92054.44898	2823.21324	70.97572	-27403.94926
0.25385	91983.60239	2822.21324	70.84659	-27429.29860
0.25306	91912.88425	2821.21324	70.71814	-27454.53391
0.25227	91842.29390	2820.21324	70.59035	-27479.65582
0.25149	91771.83066	2819.21324	70.46324	-27504.66498
0.25071	91701.49386	2818.21324	70.33679	-27529.56200
